IPN,MPN,Manufacturer,Description,Voltage,Current,Symbol,Footprint,Datasheet
REG-0010-0001,LTM8029IY#PBF,Analog Devices Inc.,Non-Isolated PoL Module DC DC Converter 1 Output 1.2 ~ 18V 600mA 4.5V - 36V Input,ADJ,600mA,g-reg:MODULE_LTM8029,g-reg:LT_BGA_11.25x6.25x3.42mm_35pin_1.27P,https://www.analog.com/media/en/technical-documentation/data-sheets/LTM8029.pdf
REG-0011-0001,LTM4657EY#PBF,Analog Devices,Non-Isolated PoL Module DC DC Converter 1 Output 0.5 ~ 5.5V 8A 3.1V - 20V Input,ADJ,8A,g-reg:MODULE_LTM4657,Package_BGA:Analog_BGA-49_6.25x6.25mm_Layout7x7_P0.8mm_Ball0.5mm_Pad0.4mm,https://www.analog.com/media/en/technical-documentation/data-sheets/LTM4657.pdf
REG-1000-0002,TPSM861257RDXR,TI,Non-Isolated PoL Module DC DC Converter 1 Output 0.6 ~ 5.5V 1A 3V - 17V Input,ADJ,1A,g-reg:TPSM861257RDXR,g-reg:QFN-FCMOD,https://www.ti.com/lit/ds/symlink/tpsm861252.pdf
REG-1003-0001,TPSM84338RCJR,TI,"Buck, Integrated Inductor, 3A, 3.8-28V Input, QFN-FCMOD-9",ADJ,3A,g-reg:TPSM84338RCJR,g-reg:TI-RCJ0009A-MFG,https://www.ti.com/lit/ds/symlink/tpsm84338.pdf
REG-1004-0001,TC7660HEOA,Microchip,"Charge Pump, 1.5-10Vin, 60kHz Fsw, SOIC-8",Ratiometric,20mA,g-reg:TC7660S,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,https://ww1.microchip.com/downloads/en/DeviceDoc/20001467C.pdf
REG-1005-0001,TLV76701DRVR,TI,"LDO, Positive, 1 Output, Adjustable, 1A, 2.5-16Vin, 0.8-13.6V, WSON-6",ADJ,1A,Regulator_Linear:TLV76701DRVx,Package_SON:WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,https://www.ti.com/lit/ds/symlink/tlv767.pdf
REG-1006-0001,LM2664M6X/NOPB,TI,"Charge Pump, 1.8-5.5Vin, 80kHz Fsw, 40mA, SOT23-6",Ratiometric,40mA,g-reg:LM2664,Package_TO_SOT_SMD:SOT-23-6,https://www.ti.com/lit/ds/symlink/lm2664.pdf?HQS=dis-dk-null-digikeymode-dsf-pf-null-wwe&ts=1746819818644&ref_url=https%253A%252F%252Fwww.ti.com%252Fgeneral%252Fdocs%252Fsuppproductinfo.tsp%253FdistId%253D10%2526gotoUrl%253Dhttps%253A%252F%252Fwww.ti.com%252Flit%252Fgpn%252Flm2664
REG-1007-0001,TPS71501DCKRM3,TI,"LDO, Positive, 1 Output, Adjustable, 50mA, 2.5-30Vin, 1.2-15Vout, SC-70-5 (2x1.25mm)",ADJ,50mA,g-reg:TPS71501DCKRM3,Package_TO_SOT_SMD:SOT-353_SC-70-5,
REG-1008-0001,MIC5270YM5-TR,Microchip,"LDO, Negative, 1ch, Adj, 100mA, -14Vin, SOT-23-5 (2.9x1.6)",ADJ,100mA,g-reg:MIC5270YM5,Package_TO_SOT_SMD:SOT-23-5,
REG-1009-0001,TPS72301DDCT,TI,"LDO, Negative, 1ch, Adj, 200mA, -14Vin, SOT-23-5 (2.9x1.6)",ADJ,200mA,g-reg:TPS72301_SOT,Package_TO_SOT_SMD:SOT-23-5,
REG-1010-03V3,UA78M33CDCYR,TI,"LDO, Positive, 1ch, 3.3Vout, 500mA, 25Vin, SOT-223-4 (7x6.5)",3.3V,500mA,g-reg:TLV1117-3.3,Package_TO_SOT_SMD:SOT-223,
REG-1011-0ADJ,LM317LCPK,TI,"LDO, Positive, 1ch, Adj, 100mA, 38Vin, SOT-223",ADJ,100mA,g-reg:TLV1117-3.3,Package_TO_SOT_SMD:SOT-223,
