IPN,MPN,Manufacturer,Description,Form,Function,Standoff,Actuator Length,Bushing,Bushing Length,Symbol,Footprint,Datasheet
SWI-1002-1310,200MSP3T1B1M2QEH,E-Switch,"Toggle Switch Submini SPDT On-Off-On, PC Pin, Vertical, Long Shaft",SPDT,On-Off-On,8.64mm,9.4mm,10-48 UNS,5.59mm,g-swi:SW_SPDT,g-swi:SW_TOGGLE_ALPHA-200_SUBMINI_SPDT_PC-PINS,https://www.e-switch.com/wp-content/uploads/2022/06/200.pdf
SWI-1002-1311,200MSP3T2B1M2QEH,E-Switch,"Toggle Switch Submini SPDT On-Off-On, PC Pin, Vertical, Short Shaft",SPDT,On-Off-On,8.64mm,5.3mm,10-48 UNS,5.59mm,g-swi:SW_SPDT,g-swi:SW_TOGGLE_ALPHA-200_SUBMINI_SPDT_PC-PINS,https://www.e-switch.com/wp-content/uploads/2022/06/200.pdf
SWI-1002-3110,200MDP1T1B1M2QEH,E-Switch,"Toggle Switch Submini DPDT On-On, PC Pin, Vertical, Long Shaft",DPDT,On-On,8.64mm,9.4mm,10-48 UNS,5.59mm,g-swi:SW_DPDT,g-swi:SW_TOGGLE_ALPHA-200_SUBMINI_DPDT_PC-PINS,https://www.e-switch.com/wp-content/uploads/2022/06/200.pdf
SWI-1002-3111,200MDP1T2B1M2QEH,E-Switch,"Toggle Switch Submini DPDT On-On, PC Pin, Vertical, Short Shaft",DPDT,On-On,8.64mm,5.3mm,10-48 UNS,5.59mm,g-swi:SW_DPDT,g-swi:SW_TOGGLE_ALPHA-200_SUBMINI_DPDT_PC-PINS,https://www.e-switch.com/wp-content/uploads/2022/06/200.pdf
SWI-1002-3310,200MDP3T1B1M2QEH,E-Switch,"Toggle Switch Submini DPDT On-Off-On, PC Pin, Vertical, Long Shaft",DPDT,On-Off-On,8.64mm,9.4mm,10-48 UNS,5.59mm,g-swi:SW_DPDT,g-swi:SW_TOGGLE_ALPHA-200_SUBMINI_DPDT_PC-PINS,https://www.e-switch.com/wp-content/uploads/2022/06/200.pdf
SWI-1002-3311,200MDP3T2B1M2QEH,E-Switch,"Toggle Switch Submini DPDT On-Off-On, PC Pin, Vertical, Short Shaft",DPDT,On-Off-On,8.64mm,5.3mm,10-48 UNS,5.59mm,g-swi:SW_DPDT,g-swi:SW_TOGGLE_ALPHA-200_SUBMINI_DPDT_PC-PINS,https://www.e-switch.com/wp-content/uploads/2022/06/200.pdf
SWI-1003-0108,SR1712F-0108-20F0A-N9-N-027 ,Alpha,Rotary Switches 1 POLE 8 POS D SHAFT – 20MM D Shaft,1P8T,Rotary,7.5mm,20mm,M9*0.75,7mm,g-swi:SW_Rotary_SR1712F_1P8T,g-swi:SR1712F-0106-20F0A-N9-N-027_ATW,https://www.mouser.com/datasheet/2/13/SR1712F-1815245.pdf
SWI-1003-0108,SR1712F-0109-15K0A-N9-N-027,Alpha,Rotary Switches 1 POLE 9 POS D SHAFT – 15MM Knurled Shaft,1P9T,Rotary,7.5mm,15mm,M9*0.75,7mm,g-swi:SW_Rotary_SR1712F_1P9T,g-swi:SR1712F-0106-15F0A-N9-N-027_ATW,https://www.mouser.com/datasheet/2/13/SR1712F-1815245.pdf
SWI-1004-VH58,PTS645VL58-2 LFS,C&K,SWITCH TACTILE SPST-NO RA H:5.8mm 200gf,SPST-NO,Momentary,,,,,Switch:SW_SPST,Button_Switch_THT:SW_Tactile_SPST_Angled_PTS645Vx58-2LFS,https://www.ckswitches.com/media/1471/pts645.pdf
SWI-1004-VH83,PTS645VL83-2 LFS,C&K,SWITCH TACTILE SPST-NO RA H:5.8mm 200gf,SPST-NO,Momentary,,,,,Switch:SW_SPST,Button_Switch_THT:SW_Tactile_SPST_Angled_PTS645Vx83-2LFS,https://www.ckswitches.com/media/1471/pts645.pdf
