IPN,MPN,Manufacturer,Description,Symbol,Footprint,Pins,Datasheet,
CON-4001-0001,PJ-047AH,Same Sky (Formerly CUI Devices),CONN PWR JACK 2X5.5MM THRU HOLE SHIELDED NC-SWITCH – TALL SKINNY,g-con:BarrelJack_PJ-047AH,g-con:BarrelJack_CUI_PJ-047AH,3,https://www.sameskydevices.com/product/resource/pj-047ah.pdf,
CON-4002-0001,PJ-051A,Same Sky (Formerly CUI Devices),CONN PWR JACK 2X5.5MM THRU HOLE SHIELDED NC-SWITCH – SHORT WIDE,g-con:BarrelJack_PJ-047AH,g-con:BarrelJack_CUI_PJ-051A,3,https://www.sameskydevices.com/product/resource/pj-051a.pdf,
CON-5001-0002,SM02B-SRSS-TB,JST,CONN WIRE TO BOARD SMD R/A 2POS 1MM,Connector_Generic_MountingPin:Conn_01x02_MountingPin,Connector_JST:JST_SH_BM02B-SRSS-TB_1x02-1MP_P1.00mm_Vertical,2,https://www.jst.com/wp-content/uploads/2021/01/eSH-new.pdf,
CON-5001-0004,SM04B-SRSS-TB,JST,CONN WIRE TO BOARD SMD R/A 4POS 1MM,Connector_Generic_MountingPin:Conn_01x04_MountingPin,Connector_JST:JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,4,https://www.jst.com/wp-content/uploads/2021/01/eSH-new.pdf,
CON-5001-0006,SM06B-SRSS-TB,JST,CONN WIRE TO BOARD SMD R/A 6POS 1MM,Connector_Generic_MountingPin:Conn_01x06_MountingPin,Connector_JST:JST_SH_BM06B-SRSS-TB_1x06-1MP_P1.00mm_Vertical,6,https://www.jst.com/wp-content/uploads/2021/01/eSH-new.pdf,
CON-5001-0008,SM08B-SRSS-TB,JST,CONN WIRE TO BOARD SMD R/A 8POS 1MM,Connector_Generic_MountingPin:Conn_01x08_MountingPin,Connector_JST:JST_SH_BM08B-SRSS-TB_1x08-1MP_P1.00mm_Vertical,8,https://www.jst.com/wp-content/uploads/2021/01/eSH-new.pdf,
CON-5001-0010,SM010B-SRSS-TB,JST,CONN WIRE TO BOARD SMD R/A 10POS 1MM,Connector_Generic_MountingPin:Conn_01x10_MountingPin,Connector_JST:JST_SH_BM10B-SRSS-TB_1x10-1MP_P1.00mm_Vertical,10,https://www.jst.com/wp-content/uploads/2021/01/eSH-new.pdf,
CON-5001-0012,SM012B-SRSS-TB,JST,CONN WIRE TO BOARD SMD R/A 12POS 1MM,Connector_Generic_MountingPin:Conn_01x12_MountingPin,Connector_JST:JST_SH_BM12B-SRSS-TB_1x12-1MP_P1.00mm_Vertical,12,https://www.jst.com/wp-content/uploads/2021/01/eSH-new.pdf,
CON-0029-0004,B4B-ZR,JST Sales America Inc.,"Connector Header Through Hole 4 position 0.059"" (1.50mm) vertical 4 side shrouded",Connector_Generic:Conn_01x04,Connector_JST:JST_ZH_B4B-ZR_1x04_P1.50mm_Vertical,4,https://www.jst-mfg.com/product/pdf/eng/eZH.pdf,
CON-0011-0002,S2B-PH-SM4-TB,JST Sales America Inc.,"JST PH Connector (2mm pitch, shrouded, latching), 2pos, Pins, RA, Tin Plated",Connector_Generic:Conn_01x02,g-con:JST_S2B-PH-SM4-TB,2,https://www.jst-mfg.com/product/pdf/eng/ePH.pdf,
